epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,13376.8,0.24277,0.2215,0.90186,0.99137,0.99105,0.99439,0.9908,0.16295,0.13819,0.77734,0.001486,0.001486,0.001486
88,13528.5,0.24692,0.22407,0.9035,0.99117,0.99002,0.99444,0.99058,0.1621,0.13696,0.77632,0.001387,0.001387,0.001387
89,13681.2,0.24364,0.22026,0.90258,0.98957,0.99071,0.99441,0.99081,0.16102,0.13685,0.77494,0.001288,0.001288,0.001288
90,13833.5,0.24326,0.21985,0.90017,0.98965,0.99048,0.9944,0.99081,0.16229,0.137,0.77805,0.001189,0.001189,0.001189
91,14012.3,0.177,0.16655,0.88168,0.99051,0.99047,0.99432,0.99064,0.16082,0.13477,0.77752,0.00109,0.00109,0.00109
92,14162.8,0.17179,0.15323,0.88169,0.99148,0.99032,0.99407,0.9909,0.16147,0.13639,0.77962,0.000991,0.000991,0.000991
93,14313.4,0.17009,0.1512,0.87445,0.99153,0.98993,0.99401,0.99075,0.15988,0.1355,0.77752,0.000892,0.000892,0.000892
94,14463.8,0.16511,0.14492,0.87471,0.99187,0.98934,0.99417,0.99054,0.15736,0.13026,0.77544,0.000793,0.000793,0.000793
95,14615.4,0.16276,0.14147,0.87078,0.99189,0.98931,0.994,0.99049,0.15643,0.12965,0.77493,0.000694,0.000694,0.000694
96,14766.9,0.16227,0.14061,0.87362,0.99035,0.99183,0.99402,0.99079,0.15511,0.1305,0.77386,0.000595,0.000595,0.000595
97,14918.6,0.15918,0.13791,0.86853,0.99037,0.99171,0.99405,0.99082,0.15422,0.12931,0.77291,0.000496,0.000496,0.000496
98,15070.3,0.15561,0.13483,0.86955,0.99109,0.99106,0.9941,0.99099,0.15322,0.1283,0.77244,0.000397,0.000397,0.000397
99,15221.2,0.15494,0.13566,0.87047,0.99219,0.98958,0.99415,0.99145,0.1526,0.12714,0.7716,0.000298,0.000298,0.000298
100,15372.1,0.15191,0.13024,0.86309,0.99187,0.98986,0.9941,0.99142,0.15189,0.12686,0.7706,0.000199,0.000199,0.000199
